"","match_id","match_date","kick_off","home_score","away_score","match_status","match_status_360","last_updated","last_updated_360","match_week","competition.competition_id","competition.country_name","competition.competition_name","season.season_id","season.season_name","home_team.home_team_id","home_team.home_team_name","home_team.home_team_gender","home_team.home_team_group","home_team.country.id","home_team.country.name","away_team.away_team_id","away_team.away_team_name","away_team.away_team_gender","away_team.away_team_group","away_team.country.id","away_team.country.name","metadata.data_version","metadata.shot_fidelity_version","metadata.xy_fidelity_version","competition_stage.id","competition_stage.name","stadium.id","stadium.name","stadium.country.id","stadium.country.name","referee.id","referee.name","referee.country.id","referee.country.name"
"31",3788773,"2021-06-23","21:00:00.000",2,2,"available","available","2021-06-26T12:36:01.696","2021-09-22T16:40:30.061731",3,55,"Europe","UEFA Euro",43,"2020",780,"Portugal","male","Group F",183,"Portugal",771,"France","male","Group F",78,"France","1.1.0","2","2",10,"Group Stage",116551,"Puskás Aréna",103,"Hungary",180,"Antonio Miguel Mateu Lahoz",214,"Spain"
"32",3788762,"2021-06-19","21:00:00.000",1,1,"available","available","2021-09-06T18:23:20.676161","2021-09-22T16:39:57.984744",2,55,"Europe","UEFA Euro",43,"2020",772,"Spain","male","Group E",214,"Spain",789,"Poland","male","Group E",182,"Poland","1.1.0","2","2",10,"Group Stage",117374,"Estadio de La Cartuja",214,"Spain",269,"Daniele Orsato",112,"Italy"
"33",3788760,"2021-06-18","18:00:00.000",1,1,"available","available","2021-06-20T13:06:34.043","2021-09-22T16:39:41.325366",2,55,"Europe","UEFA Euro",43,"2020",785,"Croatia","male","Group D",56,"Croatia",912,"Czech Republic","male","Group D",60,"Czech Republic","1.1.0","2","2",10,"Group Stage",52986,"Hampden Park",201,"Scotland",2728,"Carlos del Cerro Grande",214,"Spain"
"34",3788747,"2021-06-13","18:00:00.000",3,1,"available","available","2021-07-07T13:09:42.891","2021-09-22T16:38:29.289107",1,55,"Europe","UEFA Euro",43,"2020",915,"Austria","male","Group C",15,"Austria",2358,"North Macedonia","male","Group C",135,"Macedonia, Republic of","1.1.0","2","2",10,"Group Stage",4365,"Arena Naţională",187,"Romania",591,"Lars Christian Andreas Ekberg",220,"Sweden"
"35",3788741,"2021-06-11","21:00:00.000",0,3,"available","available","2021-06-12T12:49:02.070","2021-09-22T16:38:05.059090",1,55,"Europe","UEFA Euro",43,"2020",909,"Turkey","male","Group A",233,"Turkey",914,"Italy","male","Group A",112,"Italy","1.1.0","2","2",10,"Group Stage",381,"Stadio Olimpico   ",112,"Italy",293,"Danny Desmond Makkelie",160,"Netherlands"
"36",3795220,"2021-07-06","21:00:00.000",1,1,"available","available","2021-08-09T20:41:31.241","2021-09-22T22:25:01.866198",6,55,"Europe","UEFA Euro",43,"2020",914,"Italy","male",NA,112,"Italy",772,"Spain","male",NA,214,"Spain","1.1.0","2","2",15,"Semi-finals",4666,"Wembley Stadium",68,"England",186,"Felix Brych",85,"Germany"
"37",3788770,"2021-06-21","18:00:00.000",0,3,"available","available","2021-09-26T22:04:17.453438","2021-09-22T16:40:19.277847",3,55,"Europe","UEFA Euro",43,"2020",2358,"North Macedonia","male","Group C",135,"Macedonia, Republic of",941,"Netherlands","male","Group C",160,"Netherlands","1.1.0","2","2",10,"Group Stage",4815,"Johan Cruijff Arena (Amsterdam)",160,"Netherlands",583,"Istvan Kovacs",187,"Romania"
"38",3795108,"2021-07-02","18:00:00.000",1,1,"available","available","2021-07-03T12:52:01.320","2021-09-22T23:54:54.823237",5,55,"Europe","UEFA Euro",43,"2020",773,"Switzerland","male",NA,221,"Switzerland",772,"Spain","male",NA,214,"Spain","1.1.0","2","2",11,"Quarter-finals",4726,"Saint-Petersburg Stadium",188,"Russia",1,"Michael Oliver",68,"England"
"39",3795187,"2021-07-03","21:00:00.000",0,4,"available","available","2021-07-04T16:39:20.746","2021-09-22T22:09:58.374195",5,55,"Europe","UEFA Euro",43,"2020",911,"Ukraine","male",NA,238,"Ukraine",768,"England","male",NA,68,"England","1.1.0","2","2",11,"Quarter-finals",381,"Stadio Olimpico   ",112,"Italy",186,"Felix Brych",85,"Germany"
"40",3795109,"2021-07-03","18:00:00.000",1,2,"available","available","2021-07-04T13:05:32.832","2021-09-22T22:16:30.439245",5,55,"Europe","UEFA Euro",43,"2020",912,"Czech Republic","male",NA,60,"Czech Republic",776,"Denmark","male",NA,61,"Denmark","1.1.0","2","2",11,"Quarter-finals",4549,"Bakı Olimpiya Stadionu",16,"Azerbaijan",287,"Björn Kuipers",160,"Netherlands"
"41",3788756,"2021-06-17","21:00:00.000",2,0,"available","available","2021-06-19T12:26:56.636","2021-09-22T16:39:30.498704",2,55,"Europe","UEFA Euro",43,"2020",941,"Netherlands","male","Group C",160,"Netherlands",915,"Austria","male","Group C",15,"Austria","1.1.0","2","2",10,"Group Stage",4815,"Johan Cruijff Arena (Amsterdam)",160,"Netherlands",2691,"Orel Grinfeeld",111,"Israel"
"42",3788749,"2021-06-14","18:00:00.000",1,2,"available","available","2021-06-15T13:11:56.412","2021-09-22T16:38:40.632586",1,55,"Europe","UEFA Euro",43,"2020",789,"Poland","male","Group E",182,"Poland",908,"Slovakia","male","Group E",207,"Slovakia","1.1.0","2","2",10,"Group Stage",4726,"Saint-Petersburg Stadium",188,"Russia",448,"Ovidiu Alin Hațegan",187,"Romania"
"43",3788750,"2021-06-14","21:00:00.000",0,0,"available","available","2021-06-16T12:30:09.207","2021-09-22T16:38:45.960182",1,55,"Europe","UEFA Euro",43,"2020",772,"Spain","male","Group E",214,"Spain",790,"Sweden","male","Group E",220,"Sweden","1.1.0","2","2",10,"Group Stage",117374,"Estadio de La Cartuja",214,"Spain",943,"Slavko Vinčić",208,"Slovenia"
"44",3788748,"2021-06-14","15:00:00.000",0,2,"available","available","2021-08-08T19:08:28.233","2021-09-22T16:38:50.097013",1,55,"Europe","UEFA Euro",43,"2020",942,"Scotland","male","Group D",201,"Scotland",912,"Czech Republic","male","Group D",60,"Czech Republic","1.1.0","2","2",10,"Group Stage",52986,"Hampden Park",201,"Scotland",225,"Daniel Siebert",85,"Germany"
"45",3788751,"2021-06-15","21:00:00.000",1,0,"available","available","2021-08-27T17:33:01.458","2021-09-22T16:38:55.619552",1,55,"Europe","UEFA Euro",43,"2020",771,"France","male","Group F",78,"France",770,"Germany","male","Group F",85,"Germany","1.1.0","2","2",10,"Group Stage",4867,"Allianz Arena",85,"Germany",2728,"Carlos del Cerro Grande",214,"Spain"
"46",3788752,"2021-06-15","18:00:00.000",0,3,"available","available","2021-06-17T16:25:36.822","2021-09-22T16:39:00.060517",1,55,"Europe","UEFA Euro",43,"2020",916,"Hungary","male","Group F",103,"Hungary",780,"Portugal","male","Group F",183,"Portugal","1.1.0","2","2",10,"Group Stage",116551,"Puskás Aréna",103,"Hungary",581,"Cüneyt Çakιr",233,"Turkey"
"47",3788742,"2021-06-12","18:00:00.000",0,1,"available","available","2021-06-14T12:52:32.995","2021-09-22T16:38:10.544627",1,55,"Europe","UEFA Euro",43,"2020",776,"Denmark","male","Group B",61,"Denmark",1835,"Finland","male","Group B",77,"Finland","1.1.0","2","2",10,"Group Stage",495,"Parken",61,"Denmark",8,"Anthony Taylor",68,"England"
"48",3788775,"2021-06-23","18:00:00.000",0,5,"available","available","2021-06-24T03:38:10.494","2021-09-22T16:40:35.297256",3,55,"Europe","UEFA Euro",43,"2020",908,"Slovakia","male","Group E",207,"Slovakia",772,"Spain","male","Group E",214,"Spain","1.1.0","2","2",10,"Group Stage",117374,"Estadio de La Cartuja",214,"Spain",287,"Björn Kuipers",160,"Netherlands"
"49",3788776,"2021-06-23","18:00:00.000",3,2,"available","available","2021-06-24T15:06:44.531","2021-09-22T16:40:38.194520",3,55,"Europe","UEFA Euro",43,"2020",790,"Sweden","male","Group E",220,"Sweden",789,"Poland","male","Group E",182,"Poland","1.1.0","2","2",10,"Group Stage",4726,"Saint-Petersburg Stadium",188,"Russia",1,"Michael Oliver",68,"England"
"50",3788743,"2021-06-12","21:00:00.000",3,0,"available","available","2021-06-13T13:10:11.602","2021-09-22T16:38:15.368959",1,55,"Europe","UEFA Euro",43,"2020",782,"Belgium","male","Group B",22,"Belgium",796,"Russia","male","Group B",188,"Russia","1.1.0","2","2",10,"Group Stage",4726,"Saint-Petersburg Stadium",188,"Russia",180,"Antonio Miguel Mateu Lahoz",214,"Spain"
"51",3788744,"2021-06-12","15:00:00.000",1,1,"available","available","2021-06-20T12:57:59.258","2021-09-22T16:38:18.433799",1,55,"Europe","UEFA Euro",43,"2020",907,"Wales","male","Group A",249,"Wales",773,"Switzerland","male","Group A",221,"Switzerland","1.1.0","2","2",10,"Group Stage",4549,"Bakı Olimpiya Stadionu",16,"Azerbaijan",76,"Clément Turpin",78,"France"
