"","match_id","team.name","player.id","player.name","position.name","type.name"
"1336",3794692,"Ukraine",31900,"Oleksandr Karavaev","Right Wing Back","Starting XI"
"1337",3794692,"Ukraine",3575,"Oleksandr Zinchenko","Left Wing Back","Starting XI"
"1338",3794692,"Ukraine",11000,"Taras Stepanenko","Center Defensive Midfield","Starting XI"
"1339",3794692,"Ukraine",16514,"Serhii Sydorchuk","Right Center Midfield","Starting XI"
"1340",3794692,"Ukraine",21294,"Mykola Shaparenko","Left Center Midfield","Starting XI"
"1341",3794692,"Ukraine",8830,"Andriy Yarmolenko","Right Center Forward","Starting XI"
"1342",3794692,"Ukraine",23649,"Roman Yaremchuk","Left Center Forward","Starting XI"
"1343",3794692,"Ukraine",16557,"Ruslan Malinovskiy","Left Center Midfield","Substitution"
"1344",3794692,"Ukraine",18881,"Artem Besedin","Left Center Forward","Substitution"
"1345",3794692,"Ukraine",16311,"Evgeny Makarenko","Center Defensive Midfield","Substitution"
"1346",3794692,"Ukraine",16509,"Viktor Tsygankov","Left Center Forward","Substitution"
"1347",3794692,"Ukraine",25079,"Artem Dovbyk","Right Center Forward","Substitution"
"1348",3794692,"Ukraine",23725,"Roman Bezus","Right Center Midfield","Substitution"
"1349",3794692,"Sweden",5622,"Robin Olsen","Goalkeeper","Starting XI"
"1350",3794692,"Sweden",5612,"Mikael Lustig","Right Back","Starting XI"
"1351",3794692,"Sweden",3702,"Victor Nilsson Lindelöf","Right Center Back","Starting XI"
"1352",3794692,"Sweden",26875,"Marcus Andreas Danielsson","Left Center Back","Starting XI"
"1353",3794692,"Sweden",5621,"Ludwig Augustinsson","Left Back","Starting XI"
"1354",3794692,"Sweden",23444,"Kristoffer Olsson","Right Defensive Midfield","Starting XI"
"1355",3794692,"Sweden",5624,"Albin Ekdal","Left Defensive Midfield","Starting XI"
"1356",3794692,"Sweden",5617,"Sebastian Larsson","Right Midfield","Starting XI"
"1357",3794692,"Sweden",5625,"Emil Peter Forsberg","Left Midfield","Starting XI"
"1358",3794692,"Sweden",22818,"Dejan Kulusevski","Right Center Forward","Starting XI"
"1359",3794692,"Sweden",8819,"Alexander Isak","Left Center Forward","Starting XI"
"1360",3794692,"Sweden",20871,"Pierre Bengtsson","Left Back","Substitution"
"1361",3794692,"Sweden",6358,"Emil Krafth","Right Back","Substitution"
"1362",3794692,"Sweden",8552,"Robin Quaison","Right Center Forward","Substitution"
"1363",3794692,"Sweden",11098,"Marcus Berg","Left Center Forward","Substitution"
"1364",3794692,"Sweden",5613,"Viktor Claesson","Right Midfield","Substitution"
"1365",3794692,"Sweden",7966,"Filip Helander","Right Defensive Midfield","Substitution"
"1366",3795108,"Spain",11748,"Unai Simón Mendibil","Goalkeeper","Starting XI"
"1367",3795108,"Spain",3957,"César Azpilicueta Tanco","Right Back","Starting XI"
"1368",3795108,"Spain",4353,"Aymeric Laporte","Right Center Back","Starting XI"
"1369",3795108,"Spain",6892,"Pau Francisco Torres","Left Center Back","Starting XI"
"1370",3795108,"Spain",5211,"Jordi Alba Ramos","Left Back","Starting XI"
"1371",3795108,"Spain",5203,"Sergio Busquets i Burgos","Center Defensive Midfield","Starting XI"
"1372",3795108,"Spain",5199,"Jorge Resurrección Merodio","Right Center Midfield","Starting XI"
"1373",3795108,"Spain",30486,"Pedro González López","Left Center Midfield","Starting XI"
"1374",3795108,"Spain",6748,"Ferrán Torres García","Right Wing","Starting XI"
